,Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description,id,search_text
0,"All-India year-on-year inflation rates (%) for General, Group and Sub-group level CPI and CFPI numbers for Rural, Urban and Combined (Base Year : 2012= 100)",CPI,Price Statistics,"All India, Rural, Urban, States",Monthly,Feb 2025,2025-03-12,CPIMCY25002FEB,https://esankhyiki.mospi.gov.in/datacatalogue/CPI/2025/Annexures_for_Press_Release_in_Excel_February2025_Annex-II.xlsx,"Price Statistics Division, MoSPI","Consumer Price Index (CPI) measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption. Such changes affect the real purchasing power of consumers‘ income and their welfare. CPI numbers are widely used as macroeconomic indicator of inflation, and also as a tool by government and central banks for targeting inflation and monitoring price stability. All India Consumer price Indices are shown here for Food & Beverages, Clothing & Footwear, Housing, Fuel & Light and Misc for Rural and urban Areas in India.",0,all india year on year inflation rates % for general group and sub group level cpi and cfpi numbers for rural urban and combined base year 2012 100 consumer price index cpi measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption such changes affect the real purchasing power of consumers income and their welfare cpi numbers are widely used as macroeconomic indicator of inflation and also as a tool by government and central banks for targeting inflation and monitoring price stability all india consumer price indices are shown here for food beverages clothing footwear housing fuel light and misc for rural and urban areas in india
1,All India Inflation rate based on CPI (Base 2012=100) Since January 2014,CPI,Price Statistics,"All India, Rural, Urban, States",Monthly,Feb 2025,2025-03-12,CPIMCY25006FEB,https://esankhyiki.mospi.gov.in/datacatalogue/CPI/2025/Annexures_for_Press_Release_in_Excel_February2025_Annex-VI.xlsx,"Price Statistics Division, MoSPI","Consumer Price Index (CPI) measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption. Such changes affect the real purchasing power of consumers‘ income and their welfare. CPI numbers are widely used as macroeconomic indicator of inflation, and also as a tool by government and central banks for targeting inflation and monitoring price stability. All India Consumer price Indices are shown here for Food & Beverages, Clothing & Footwear, Housing, Fuel & Light and Misc for Rural and urban Areas in India.",1,all india inflation rate based on cpi base 2012100 since january 2014 consumer price index cpi measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption such changes affect the real purchasing power of consumers income and their welfare cpi numbers are widely used as macroeconomic indicator of inflation and also as a tool by government and central banks for targeting inflation and monitoring price stability all india consumer price indices are shown here for food beverages clothing footwear housing fuel light and misc for rural and urban areas in india
2,"Year-on-year inflation rates (%) of major@ States for Rural, Urban and Combined (Base Year : 2012= 100)",CPI,Price Statistics,"All India, Rural, Urban, States",Monthly,Feb 2025,2025-03-12,CPIMCY25004FEB,https://esankhyiki.mospi.gov.in/datacatalogue/CPI/2025/Annexures_for_Press_Release_in_Excel_February2025_Annex-IV.xlsx,"Price Statistics Division, MoSPI","Consumer Price Index (CPI) measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption. Such changes affect the real purchasing power of consumers‘ income and their welfare. CPI numbers are widely used as macroeconomic indicator of inflation, and also as a tool by government and central banks for targeting inflation and monitoring price stability. All India Consumer price Indices are shown here for Food & Beverages, Clothing & Footwear, Housing, Fuel & Light and Misc for Rural and urban Areas in India.",2,year on year inflation rates % of major states for rural urban and combined base year 2012 100 consumer price index cpi measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption such changes affect the real purchasing power of consumers income and their welfare cpi numbers are widely used as macroeconomic indicator of inflation and also as a tool by government and central banks for targeting inflation and monitoring price stability all india consumer price indices are shown here for food beverages clothing footwear housing fuel light and misc for rural and urban areas in india
3,"General CPI for States for Rural, Urban and Combined (Base Year : 2012= 100)",CPI,Price Statistics,"All India, Rural, Urban, States",Monthly,Feb 2025,2025-03-12,CPIMCY25003FEB,https://esankhyiki.mospi.gov.in/datacatalogue/CPI/2025/Annexures_for_Press_Release_in_Excel_February2025_Annex-III.xlsx,"Price Statistics Division, MoSPI","Consumer Price Index (CPI) measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption. Such changes affect the real purchasing power of consumers‘ income and their welfare. CPI numbers are widely used as macroeconomic indicator of inflation, and also as a tool by government and central banks for targeting inflation and monitoring price stability. All India Consumer price Indices are shown here for Food & Beverages, Clothing & Footwear, Housing, Fuel & Light and Misc for Rural and urban Areas in India.",3,general cpi for states for rural urban and combined base year 2012 100 consumer price index cpi measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption such changes affect the real purchasing power of consumers income and their welfare cpi numbers are widely used as macroeconomic indicator of inflation and also as a tool by government and central banks for targeting inflation and monitoring price stability all india consumer price indices are shown here for food beverages clothing footwear housing fuel light and misc for rural and urban areas in india
4,"All-India General, Group and Sub-group level CPI and CFPI numbers for Rural, Urban and Combined (Base Year : 2012= 100)",CPI,Price Statistics,"All India, Rural, Urban, States",Monthly,Feb 2025,2025-03-12,CPIMCY25001FEB,https://esankhyiki.mospi.gov.in/datacatalogue/CPI/2025/Annexures_for_Press_Release_in_Excel_February2025_Annex-I.xlsx,"Price Statistics Division, MoSPI","Consumer Price Index (CPI) measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption. Such changes affect the real purchasing power of consumers‘ income and their welfare. CPI numbers are widely used as macroeconomic indicator of inflation, and also as a tool by government and central banks for targeting inflation and monitoring price stability. All India Consumer price Indices are shown here for Food & Beverages, Clothing & Footwear, Housing, Fuel & Light and Misc for Rural and urban Areas in India.",4,all india general group and sub group level cpi and cfpi numbers for rural urban and combined base year 2012 100 consumer price index cpi measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption such changes affect the real purchasing power of consumers income and their welfare cpi numbers are widely used as macroeconomic indicator of inflation and also as a tool by government and central banks for targeting inflation and monitoring price stability all india consumer price indices are shown here for food beverages clothing footwear housing fuel light and misc for rural and urban areas in india
5,Monthly indices and growth rates of industrial production as per use-based classification upto Jan 2025,IIP,Industrial Statistics,All India,Monthly,Jan 2025,2025-03-12,IIPMFY24040JAN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011-12Monthly_annual_jan25_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,5,monthly indices and growth rates of industrial production as per use based classification upto jan 2025 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
6,Annual indices and growth rates (%) of industrial production as per use-based classification upto Jan 2025,IIP,Industrial Statistics,All India,Monthly,Jan 2025,2025-03-12,IIPMFY24039JAN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011_12Monthly_annual_jan25_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,6,annual indices and growth rates % of industrial production as per use based classification upto jan 2025 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
7,Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto Jan 2025,IIP,Industrial Statistics,All India,Monthly,Jan 2025,2025-03-12,IIPMFY24038JAN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011-12Monthly_annual_jan25_NIC%202d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,7,monthly nic 2 digit and sectoral indices and growth rates of industrial production upto jan 2025 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
8,Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto Jan 2025,IIP,Industrial Statistics,All India,Monthly,Jan 2025,2025-03-12,IIPMFY24037JAN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011-12Monthly_annual_jan25_NIC%202d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,8,annual nic 2 digit and sectoral indices and growth rates as per iip % calculated wrt previous year upto jan 2025 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
9,All India General CPI (Base 2012 =100) Since January 2013,CPI,Price Statistics,"All India, Rural, Urban, States",Monthly,Feb 2025,2025-03-12,CPIMCY25005FEB,https://esankhyiki.mospi.gov.in/datacatalogue/CPI/2025/Annexures_for_Press_Release_in_Excel_February2025_Annex-V.xlsx,"Price Statistics Division, MoSPI","Consumer Price Index (CPI) measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption. Such changes affect the real purchasing power of consumers‘ income and their welfare. CPI numbers are widely used as macroeconomic indicator of inflation, and also as a tool by government and central banks for targeting inflation and monitoring price stability. All India Consumer price Indices are shown here for Food & Beverages, Clothing & Footwear, Housing, Fuel & Light and Misc for Rural and urban Areas in India.",9,all india general cpi base 2012 100 since january 2013 consumer price index cpi measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption such changes affect the real purchasing power of consumers income and their welfare cpi numbers are widely used as macroeconomic indicator of inflation and also as a tool by government and central banks for targeting inflation and monitoring price stability all india consumer price indices are shown here for food beverages clothing footwear housing fuel light and misc for rural and urban areas in india
10,"QUARTERLY ESTIMATES OF GDP AT CONSTANT PRICES (FOR 2011-12 TO 2024-25), 2011-12 SERIES",NAS,National Accounts Statistics,All India,Quarterly,2024-25,2025-02-28,AEQEAFY2512QTR,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/AEQE/AEQE_as%20on%2028.02.2025/Statement_Quarterly_Constant_28.02.2025.xlsx,"National Accounts Division, MoSPI",Quarterly/Advance/Provisional GDP estimates are released through a press note. Estimates of key macro-economic aggregates are given in tables annexed to the press note.,10,quarterly estimates of gdp at constant prices for 2011 12 to 2024 25 2011 12 series quarterlyadvanceprovisional gdp estimates are released through a press note estimates of key macro economic aggregates are given in tables annexed to the press note
