Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
Statement 1: Average Monthly Per Capita Consumption Expenditure (MPCE) (Rs.) and share of food and non-food items in 2023-24: All-India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31 Dec 2024,HCESAFY24001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_1.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households."
Statement 2: Trend in level of Consumption since 2011-12: All-India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31 Dec 2024,HCESAFY24002ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_2.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households."
Statement 3: Trend in share of consumption of cereals and food items since 2011-12: All-India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31 Dec 2024,HCESAFY24003ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_3.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households."
Statement 4: Absolute and percentage break-up of Monthly Per Capita Consumption Expenditure (MPCE) by item groups in 2023-24: All-India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31 Dec 2024,HCESAFY24004ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_4.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households."
Statement 5: Trend in percentage composition of Monthly Per Capita Consumption Expenditure (MPCE) since 2011-12: Rural India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31 Dec 2024,HCESAFY24005ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_5.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households."
Statement 6: Trend in percentage composition of Monthly Per Capita Consumption Expenditure (MPCE) since 2011-12: Urban India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31 Dec 2024,HCESAFY24006ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_6.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households."
Statement 7: Average Monthly Per Capita Consumption Expenditure (MPCE) for each State/UT in 2023-24,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31 Dec 2024,HCESAFY24007ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_7.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households."
Statement 9: Average Monthly Per Capita Consumption Expenditure (MPCE) (Rs.) and share of food and non-food items in 2023-24: All-India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31 Dec 2024,HCESAFY24008ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_9.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households."
Statement 10: Trend in level of Consumption since 2011-12: All-India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31 Dec 2024,HCESAFY24009ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_10.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households."
Statement 11: Trend in share of consumption of cereals and food items since 2011-12: All-India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,31 Dec 2024,HCESAFY24010ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_11.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households."
