Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto November 2020,IIP,Industrial Statistics,All India,Monthly,Nov 2020,12 Jan 2021,IIPMFY21137NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_nov20_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto November 2020,IIP,Industrial Statistics,All India,Monthly,Nov 2020,12 Jan 2021,IIPMFY21138NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_nov20_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto November 2020,IIP,Industrial Statistics,All India,Monthly,Nov 2020,12 Jan 2021,IIPMFY21139NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_nov20_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto November 2020,IIP,Industrial Statistics,All India,Monthly,Nov 2020,12 Jan 2021,IIPMFY21140NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_nov20_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto October 2020,IIP,Industrial Statistics,All India,Monthly,Oct 2020,11 Dec 2020,IIPMFY21141OCT,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_oct20_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto October 2020,IIP,Industrial Statistics,All India,Monthly,Oct 2020,11 Dec 2020,IIPMFY21142OCT,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_oct20_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto October 2020,IIP,Industrial Statistics,All India,Monthly,Oct 2020,11 Dec 2020,IIPMFY21143OCT,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_oct20_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto October 2020,IIP,Industrial Statistics,All India,Monthly,Oct 2020,11 Dec 2020,IIPMFY21144OCT,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_oct20_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto September 2020,IIP,Industrial Statistics,All India,Monthly,Sep 2020,12 Nov 2020,IIPMFY21145SEP,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_sep20_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto September 2020,IIP,Industrial Statistics,All India,Monthly,Sep 2020,12 Nov 2020,IIPMFY21146SEP,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_sep20_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto September 2020,IIP,Industrial Statistics,All India,Monthly,Sep 2020,12 Nov 2020,IIPMFY21147SEP,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_sep20_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto September 2020,IIP,Industrial Statistics,All India,Monthly,Sep 2020,12 Nov 2020,IIPMFY21148SEP,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_sep20_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto August 2020,IIP,Industrial Statistics,All India,Monthly,Aug 2020,12 Oct 2020,IIPMFY21105AUG,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_aug20_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto August 2020,IIP,Industrial Statistics,All India,Monthly,Aug 2020,12 Oct 2020,IIPMFY21106AUG,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_aug20_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
