Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
"ANNUAL ESTIMATES OF GDP AT CURRENT PRICES (FOR 2011-12 TO 2024-25), 2011-12 SERIES",NAS,National Accounts Statistics,All India,Annual,2024-25,28 Feb 2025,AEQEAFY2509QTR,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/AEQE/AEQE_as%20on%2028.02.2025/Statement_Annual_Current_28.02.2025.xlsx,"National Accounts Division, MoSPI",Quarterly/Advance/Provisional GDP estimates are released through a press note. Estimates of key macro-economic aggregates are given in tables annexed to the press note.
"QUARTERLY ESTIMATES OF GDP AT CURRENT PRICES (FOR 2011-12 TO 2024-25), 2011-12 SERIES",NAS,National Accounts Statistics,All India,Quarterly,2024-25,28 Feb 2025,AEQEAFY2510QTR,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/AEQE/AEQE_as%20on%2028.02.2025/Statement_Quarterly_Current_28.02.2025.xlsx,"National Accounts Division, MoSPI",Quarterly/Advance/Provisional GDP estimates are released through a press note. Estimates of key macro-economic aggregates are given in tables annexed to the press note.
"ANNUAL ESTIMATES OF GDP AT CONSTANT PRICES (FOR 2011-12 TO 2024-25), 2011-12 SERIES",NAS,National Accounts Statistics,All India,Annual,2024-25,28 Feb 2025,AEQEAFY2511QTR,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/AEQE/AEQE_as%20on%2028.02.2025/Statement_Annual_Constant_28.02.2025.xlsx,"National Accounts Division, MoSPI",Quarterly/Advance/Provisional GDP estimates are released through a press note. Estimates of key macro-economic aggregates are given in tables annexed to the press note.
"QUARTERLY ESTIMATES OF GDP AT CONSTANT PRICES (FOR 2011-12 TO 2024-25), 2011-12 SERIES",NAS,National Accounts Statistics,All India,Quarterly,2024-25,28 Feb 2025,AEQEAFY2512QTR,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/AEQE/AEQE_as%20on%2028.02.2025/Statement_Quarterly_Constant_28.02.2025.xlsx,"National Accounts Division, MoSPI",Quarterly/Advance/Provisional GDP estimates are released through a press note. Estimates of key macro-economic aggregates are given in tables annexed to the press note.
"ANNUAL ESTIMATES OF GDP AT CURRENT PRICES (FOR 2011-12 TO 2023-24), 2011-12 SERIES",NAS,National Accounts Statistics,All India,Annual,2024-25,29 Nov 2024,AEQEAFY2505QTR,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/AEQE/AEQE_as%20on%2029.11.2024/Statement_Annual_Current_01.12.2024.xlsx,"National Accounts Division, MoSPI",Quarterly/Advance/Provisional GDP estimates are released through a press note. Estimates of key macro-economic aggregates are given in tables annexed to the press note.
"QUARTERLY ESTIMATES OF GDP AT CURRENT PRICES (FOR 2011-12 TO 2024-25), 2011-12 SERIES",NAS,National Accounts Statistics,All India,Quarterly,2024-25,29 Nov 2024,AEQEAFY2506QTR,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/AEQE/AEQE_as%20on%2029.11.2024/Statement_Quarterly_Current_01.12.2024.xlsx,"National Accounts Division, MoSPI",Quarterly/Advance/Provisional GDP estimates are released through a press note. Estimates of key macro-economic aggregates are given in tables annexed to the press note.
"ANNUAL ESTIMATES OF GDP AT CONSTANT PRICES (FOR 2011-12 TO 2023-24), 2011-12 SERIES",NAS,National Accounts Statistics,All India,Annual,2024-25,29 Nov 2024,AEQEAFY2507QTR,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/AEQE/AEQE_as%20on%2029.11.2024/Statement_Annual_Constant_01.12.2024.xlsx,"National Accounts Division, MoSPI",Quarterly/Advance/Provisional GDP estimates are released through a press note. Estimates of key macro-economic aggregates are given in tables annexed to the press note.
"QUARTERLY ESTIMATES OF GDP AT CONSTANT PRICES (FOR 2011-12 TO 2024-25), 2011-12 SERIES",NAS,National Accounts Statistics,All India,Quarterly,2024-25,29 Nov 2024,AEQEAFY2508QTR,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/AEQE/AEQE_as%20on%2029.11.2024/Statement_Quarterly_Constant_01.12.2024.xlsx,"National Accounts Division, MoSPI",Quarterly/Advance/Provisional GDP estimates are released through a press note. Estimates of key macro-economic aggregates are given in tables annexed to the press note.
"ANNUAL ESTIMATES OF GDP AT CURRENT PRICES (FOR 2011-12 TO 2023-24), 2011-12 SERIES",NAS,National Accounts Statistics,All India,Annual,2024-25,30 Aug 2024,AEQEAFY2501QTR,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/AEQE/AEQE_as%20on%2030.08.2024/Statement_Annual_Current_01.09.2024.xlsx,"National Accounts Division, MoSPI",Quarterly/Advance/Provisional GDP estimates are released through a press note. Estimates of key macro-economic aggregates are given in tables annexed to the press note.
"QUARTERLY ESTIMATES OF GDP AT CURRENT PRICES (FOR 2011-12 TO 2024-25), 2011-12 SERIES",NAS,National Accounts Statistics,All India,Quarterly,2024-25,30 Aug 2024,AEQEAFY2502QTR,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/AEQE/AEQE_as%20on%2030.08.2024/Statement_Quarterly_Current_01.09.2024.xlsx,"National Accounts Division, MoSPI",Quarterly/Advance/Provisional GDP estimates are released through a press note. Estimates of key macro-economic aggregates are given in tables annexed to the press note.
"ANNUAL ESTIMATES OF GDP AT CONSTANT PRICES (FOR 2011-12 TO 2023-24), 2011-12 SERIES",NAS,National Accounts Statistics,All India,Annual,2024-25,30 Aug 2024,AEQEAFY2503QTR,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/AEQE/AEQE_as%20on%2030.08.2024/Statement_Annual_Constant_01.09.2024.xlsx,"National Accounts Division, MoSPI",Quarterly/Advance/Provisional GDP estimates are released through a press note. Estimates of key macro-economic aggregates are given in tables annexed to the press note.
"QUARTERLY ESTIMATES OF GDP AT CONSTANT PRICES (FOR 2011-12 TO 2024-25), 2011-12 SERIES",NAS,National Accounts Statistics,All India,Quarterly,2024-25,30 Aug 2024,AEQEAFY2504QTR,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/AEQE/AEQE_as%20on%2030.08.2024/Statement_Quarterly_Constant_01.09.2024.xlsx,"National Accounts Division, MoSPI",Quarterly/Advance/Provisional GDP estimates are released through a press note. Estimates of key macro-economic aggregates are given in tables annexed to the press note.
GROSS STATE DOMESTIC PRODUCT AT CONSTANT (2011-12) PRICES (FOR 2011-12 to 2023-24); BASE YEAR 2011-12,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,01 Aug 2024,SDPAFY24139ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/State_wise_SDP-01082024_GSDP_Constant.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
GROSS STATE DOMESTIC PRODUCT AT CURRENT PRICES (FOR 2011-12 to 2023-24); BASE YEAR 2011-12,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,01 Aug 2024,SDPAFY24140ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/State_wise_SDP-01082024_GSDP_Current.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
NET STATE DOMESTIC PRODUCT AT CONSTANT (2011-12) PRICES (FOR 2011-12 to 2023-24); BASE YEAR 2011-12,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,01 Aug 2024,SDPAFY24141ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/State_wise_SDP-01082024_NSDP_Constant.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
NET STATE DOMESTIC PRODUCT AT CURRENT PRICES (FOR 2011-12 to 2023-24); BASE YEAR 2011-12,NAS,National Accounts Statistics,"All India, States",Annual,2023-24,01 Aug 2024,SDPAFY24142ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/SDP/SDP-as%20on%2001.08.2024/State_wise_SDP-01082024_NSDP_Current.xlsx,"National Accounts Division, MoSPI","Estimates of State Domestic Product are prepared by Directorate of Economics & Statistics of the respective State Government in consultation with National Accounts Division, National Statistical Office (NSO), MoSPI and made available to NSO for uploading on Ministry’s website"
