Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
Average wage earnings (Rs.) per day from casual labour work by industry of work (industry sections of NIC 2008) for each State/ UT,PLFS,Labour Statistics,"All India, States, UT",Annual,July 2021- June 2022,01 Jul 2023,PLFAAY22065ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2020-21/Table_56.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017."
Percentage distribution of workers in Current Weekly status (CWS) by number of days worked in a week for each State / UT,PLFS,Labour Statistics,"All India, States, UT",Annual,July 2021- June 2022,01 Jul 2023,PLFAAY22069ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2020-21/Table_57.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017. Current weekly status (CWS) of the person refers to the activity status determined on the basis of a reference period of last 7 days preceding the date of survey."
Percentage distribution of persons in labour force in Current Weekly status (CWS) by number of days unemployed in a week for each State / UT,PLFS,Labour Statistics,"All India, States, UT",Annual,July 2021- June 2022,01 Jul 2023,PLFAAY22050ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2021-22/Table_58.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017. Current weekly status (CWS) of the person refers to the activity status determined on the basis of a reference period of last 7 days preceding the date of survey."
"Table (59): Percentage distribution of self employed persons in usual status (ps+ss) engaged in agriculture, forestry, fishing, mining and quarrying ( industry Div. 01 – 09 of NIC 2008) by use of product of the economic activity",PLFS,Labour Statistics,All India,Annual,July 2021- June 2022,01 Jul 2023,PLFAAY22051ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2021-22/Table_59.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017."
Table (60): Percentage of workers in usual status (ps+ss)&nbsp; who ever worked** before last 365 days for each broad status in employment,PLFS,Labour Statistics,All India,Annual,July 2021- June 2022,01 Jul 2023,PLFAAY22053ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2021-22/Table_60.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017. ps(Principal activity status) of a person refers to the activity status on which a person spent relatively long time (major time criterion) during 365 days preceding the date of survey. ss (Subsidiary economic activity status) of a person refers to the the activity status in which a person in addition to his/her usual principal status, performs some economic activity for 30 days or more for the reference period of 365 days preceding the date of survey."
Table (61): Percentage distribution of unemployed persons in usual status (ps+ss) by efforts mainly undertaken to search work,PLFS,Labour Statistics,All India,Annual,July 2021- June 2022,01 Jul 2023,PLFAAY22054ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2021-22/Table_61.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017. ps(Principal activity status) of a person refers to the activity status on which a person spent relatively long time (major time criterion) during 365 days preceding the date of survey. ss (Subsidiary economic activity status) of a person refers to the the activity status in which a person in addition to his/her usual principal status, performs some economic activity for 30 days or more for the reference period of 365 days preceding the date of survey."
Table (62): Percentage distribution of persons who are not workers in usual status (ps+ss) but ever worked** before last 365 days by reasons for not working,PLFS,Labour Statistics,All India,Annual,July 2021- June 2022,01 Jul 2023,PLFAAY22055ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2021-22/Table_62.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017. ps(Principal activity status) of a person refers to the activity status on which a person spent relatively long time (major time criterion) during 365 days preceding the date of survey. ss (Subsidiary economic activity status) of a person refers to the the activity status in which a person in addition to his/her usual principal status, performs some economic activity for 30 days or more for the reference period of 365 days preceding the date of survey."
Table (63): Percentage distribution of persons not in labour force in usual status (ps+ss) by main reason for not being in labour force,PLFS,Labour Statistics,All India,Annual,July 2021- June 2022,01 Jul 2023,PLFAAY22056ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2021-22/Table_63.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017. ps(Principal activity status) of a person refers to the activity status on which a person spent relatively long time (major time criterion) during 365 days preceding the date of survey. ss (Subsidiary economic activity status) of a person refers to the the activity status in which a person in addition to his/her usual principal status, performs some economic activity for 30 days or more for the reference period of 365 days preceding the date of survey."
Table (64): Percentage distribution of workers in usual status (ps+ss) by duration of engagement in the economic activity,PLFS,Labour Statistics,All India,Annual,July 2021- June 2022,01 Jul 2023,PLFAAY22057ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2021-22/Table_64.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017. ps(Principal activity status) of a person refers to the activity status on which a person spent relatively long time (major time criterion) during 365 days preceding the date of survey. ss (Subsidiary economic activity status) of a person refers to the the activity status in which a person in addition to his/her usual principal status, performs some economic activity for 30 days or more for the reference period of 365 days preceding the date of survey."
Table (65): Percentage distribution of unemployed persons in usual status (ps+ss) by duration of the spell of unemployment (2020-2021),PLFS,Labour Statistics,All India,Annual,July 2021- June 2022,01 Jul 2023,PLFAAY22058ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2021-22/Table_65.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017. ps(Principal activity status) of a person refers to the activity status on which a person spent relatively long time (major time criterion) during 365 days preceding the date of survey. ss (Subsidiary economic activity status) of a person refers to the the activity status in which a person in addition to his/her usual principal status, performs some economic activity for 30 days or more for the reference period of 365 days preceding the date of survey."
