Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
"Table 1.1 : Trend in Population, Sex Ratio and Average Annual Growth Rate of Population of Post Independence India",WMI,National Sample Survey,"All India, State/UT, Rural/Urban",Annual,2023,06 Aug 2024,WMIFY23001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/Women&MeninIndia/2023/Table%201.1.xlsx,"National Statistical Office, Social Statistics Division","The publication ""Women and Men in India"" consolidates gender statistics, serving as a vital resource for policymakers and stakeholders. Disaggregated data allow for nuanced gender analysis, revealing disparities across various demographic characteristics. By providing comprehensive data, this publication contributes to informed policy formulation and fosters progress toward gender equity."
Table 1.2: Age- Group wise Percentage Distribution of Projected Population,WMI,National Sample Survey,"All India, State/UT, Rural/Urban",Annual,2023,06 Aug 2024,WMIFY23002ANN,https://esankhyiki.mospi.gov.in/datacatalogue/Women&MeninIndia/2023/Table%201.2.xlsx,"National Statistical Office, Social Statistics Division","The publication ""Women and Men in India"" consolidates gender statistics, serving as a vital resource for policymakers and stakeholders. Disaggregated data allow for nuanced gender analysis, revealing disparities across various demographic characteristics. By providing comprehensive data, this publication contributes to informed policy formulation and fosters progress toward gender equity."
Table 1.3 : State-wise Sex Ratio in post Independent India,WMI,National Sample Survey,"All India, State/UT, Rural/Urban",Annual,2023,06 Aug 2024,WMIFY23003ANN,https://esankhyiki.mospi.gov.in/datacatalogue/Women&MeninIndia/2023/Table%201.3.xlsx,"National Statistical Office, Social Statistics Division","The publication ""Women and Men in India"" consolidates gender statistics, serving as a vital resource for policymakers and stakeholders. Disaggregated data allow for nuanced gender analysis, revealing disparities across various demographic characteristics. By providing comprehensive data, this publication contributes to informed policy formulation and fosters progress toward gender equity."
Table 1.4 : State-wise sex ratio in various age-groups in the context of developmental planning,WMI,National Sample Survey,"All India, State/UT, Rural/Urban",Annual,2023,06 Aug 2024,WMIFY23004ANN,https://esankhyiki.mospi.gov.in/datacatalogue/Women&MeninIndia/2023/Table%201.4.xlsx,"National Statistical Office, Social Statistics Division","The publication ""Women and Men in India"" consolidates gender statistics, serving as a vital resource for policymakers and stakeholders. Disaggregated data allow for nuanced gender analysis, revealing disparities across various demographic characteristics. By providing comprehensive data, this publication contributes to informed policy formulation and fosters progress toward gender equity."
Table 1.5 : Sex Ratio at Birth based on registered events,WMI,National Sample Survey,"All India, State/UT, Rural/Urban",Annual,2023,06 Aug 2024,WMIFY23005ANN,https://esankhyiki.mospi.gov.in/datacatalogue/Women&MeninIndia/2023/Table%201.5.xlsx,"National Statistical Office, Social Statistics Division","The publication ""Women and Men in India"" consolidates gender statistics, serving as a vital resource for policymakers and stakeholders. Disaggregated data allow for nuanced gender analysis, revealing disparities across various demographic characteristics. By providing comprehensive data, this publication contributes to informed policy formulation and fosters progress toward gender equity."
Table 1.6 : Sex ratio at birth for bigger States based on Sample Registration System,WMI,National Sample Survey,"All India, State/UT, Rural/Urban",Annual,2023,06 Aug 2024,WMIFY23006ANN,https://esankhyiki.mospi.gov.in/datacatalogue/Women&MeninIndia/2023/Table%201.6.xlsx,"National Statistical Office, Social Statistics Division","The publication ""Women and Men in India"" consolidates gender statistics, serving as a vital resource for policymakers and stakeholders. Disaggregated data allow for nuanced gender analysis, revealing disparities across various demographic characteristics. By providing comprehensive data, this publication contributes to informed policy formulation and fosters progress toward gender equity."
Table 2.1: Important Women Related Vital Rates in India,WMI,National Sample Survey,"All India, State/UT, Rural/Urban",Annual,2023,06 Aug 2024,WMIFY23007ANN,https://esankhyiki.mospi.gov.in/datacatalogue/Women&MeninIndia/2023/Table%202.1.xlsx,"National Statistical Office, Social Statistics Division","The publication ""Women and Men in India"" consolidates gender statistics, serving as a vital resource for policymakers and stakeholders. Disaggregated data allow for nuanced gender analysis, revealing disparities across various demographic characteristics. By providing comprehensive data, this publication contributes to informed policy formulation and fosters progress toward gender equity."
Table 2.2: State-wise Adolescent (15-19) Fertility Rates,WMI,National Sample Survey,"All India, State/UT, Rural/Urban",Annual,2023,06 Aug 2024,WMIFY23008ANN,https://esankhyiki.mospi.gov.in/datacatalogue/Women&MeninIndia/2023/Table%202.2.xlsx,"National Statistical Office, Social Statistics Division","The publication ""Women and Men in India"" consolidates gender statistics, serving as a vital resource for policymakers and stakeholders. Disaggregated data allow for nuanced gender analysis, revealing disparities across various demographic characteristics. By providing comprehensive data, this publication contributes to informed policy formulation and fosters progress toward gender equity."
Table 2.3 : Age Specific Fertility Rate by level of education of women,WMI,National Sample Survey,"All India, State/UT, Rural/Urban",Annual,2023,06 Aug 2024,WMIFY23009ANN,https://esankhyiki.mospi.gov.in/datacatalogue/Women&MeninIndia/2023/Table%202.3.xlsx,"National Statistical Office, Social Statistics Division","The publication ""Women and Men in India"" consolidates gender statistics, serving as a vital resource for policymakers and stakeholders. Disaggregated data allow for nuanced gender analysis, revealing disparities across various demographic characteristics. By providing comprehensive data, this publication contributes to informed policy formulation and fosters progress toward gender equity."
Table 2.4 : Women's Mean Age at Marriage in Major States,WMI,National Sample Survey,"All India, State/UT, Rural/Urban",Annual,2023,06 Aug 2024,WMIFY23010ANN,https://esankhyiki.mospi.gov.in/datacatalogue/Women&MeninIndia/2023/Table%202.4.xlsx,"National Statistical Office, Social Statistics Division","The publication ""Women and Men in India"" consolidates gender statistics, serving as a vital resource for policymakers and stakeholders. Disaggregated data allow for nuanced gender analysis, revealing disparities across various demographic characteristics. By providing comprehensive data, this publication contributes to informed policy formulation and fosters progress toward gender equity."
Table 2.5: Infant Mortality Rate,WMI,National Sample Survey,"All India, State/UT, Rural/Urban",Annual,2023,06 Aug 2024,WMIFY23011ANN,https://esankhyiki.mospi.gov.in/datacatalogue/Women&MeninIndia/2023/Table%202.5.xlsx,"National Statistical Office, Social Statistics Division","The publication ""Women and Men in India"" consolidates gender statistics, serving as a vital resource for policymakers and stakeholders. Disaggregated data allow for nuanced gender analysis, revealing disparities across various demographic characteristics. By providing comprehensive data, this publication contributes to informed policy formulation and fosters progress toward gender equity."
"Table 2.6 : Infant Mortality Rates by sex and residence, 2020",WMI,National Sample Survey,"All India, State/UT, Rural/Urban",Annual,2023,06 Aug 2024,WMIFY23012ANN,https://esankhyiki.mospi.gov.in/datacatalogue/Women&MeninIndia/2023/Table%202.6.xlsx,"National Statistical Office, Social Statistics Division","The publication ""Women and Men in India"" consolidates gender statistics, serving as a vital resource for policymakers and stakeholders. Disaggregated data allow for nuanced gender analysis, revealing disparities across various demographic characteristics. By providing comprehensive data, this publication contributes to informed policy formulation and fosters progress toward gender equity."
"Table 2.7: Under-Five Mortality Rates (U5MR) by sex in India and bigger States/UTs,",WMI,National Sample Survey,"All India, State/UT, Rural/Urban",Annual,2023,06 Aug 2024,WMIFY23013ANN,https://esankhyiki.mospi.gov.in/datacatalogue/Women&MeninIndia/2023/Table%202.7.xlsx,"National Statistical Office, Social Statistics Division","The publication ""Women and Men in India"" consolidates gender statistics, serving as a vital resource for policymakers and stakeholders. Disaggregated data allow for nuanced gender analysis, revealing disparities across various demographic characteristics. By providing comprehensive data, this publication contributes to informed policy formulation and fosters progress toward gender equity."
