Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
Time series Trend of Number of factories & Net Value Added (NVA),ASI,Industrial Statistics,All India,Annual,1981-82 to 2022-23,30 Sep 2024,ASIAFY23001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASI/ASI_Time_series_Trend_of_Number_of_factories_Net_Value_Added.xlsx,"IS Wing, MoSPI","Annual Survey of Industries (ASI) is a major source of data of registered manufacturing sector of the Indian Economy. The survey results give valuable input to the planners and policy makers in objectively evaluating the industrial scenario of the economy. The survey covers the factories registered under the Factories Act, 1948 and establishments under Bidi and Cigar Workers (Conditions of Employment) Act, 1966 and all electricity undertakings engaged in generation, transmission and distribution of electricity, not registered with the Central Electricity Authority (CEA)."
Time series Trend of No. of workers & Total persons engaged,ASI,Industrial Statistics,All India,Annual,1981-82 to 2022-23,30 Sep 2024,ASIAFY23002ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASI/ASI_Time_series_Trend_of_No_of_workers_total_persons_engaged.xlsx,"IS Wing, MoSPI","Annual Survey of Industries (ASI) is a major source of data of registered manufacturing sector of the Indian Economy. The survey results give valuable input to the planners and policy makers in objectively evaluating the industrial scenario of the economy. The survey covers the factories registered under the Factories Act, 1948 and establishments under Bidi and Cigar Workers (Conditions of Employment) Act, 1966 and all electricity undertakings engaged in generation, transmission and distribution of electricity, not registered with the Central Electricity Authority (CEA)."
State-wise no. of factories for 2022-23,ASI,Industrial Statistics,All India,Annual,2022-23,30 Sep 2024,ASIAFY23003ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASI/State_wise_no_of_factories_for_2022_23.xlsx,"IS Wing, MoSPI","Annual Survey of Industries (ASI) is a major source of data of registered manufacturing sector of the Indian Economy. The survey results give valuable input to the planners and policy makers in objectively evaluating the industrial scenario of the economy. The survey covers the factories registered under the Factories Act, 1948 and establishments under Bidi and Cigar Workers (Conditions of Employment) Act, 1966 and all electricity undertakings engaged in generation, transmission and distribution of electricity, not registered with the Central Electricity Authority (CEA)."
Industry-wise no. of factories for 2022-23,ASI,Industrial Statistics,All India,Annual,2022-23,30 Sep 2024,ASIAFY23004ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASI/Industry_wise_no_of_factories_for_2022_23.xlsx,"IS Wing, MoSPI","Annual Survey of Industries (ASI) is a major source of data of registered manufacturing sector of the Indian Economy. The survey results give valuable input to the planners and policy makers in objectively evaluating the industrial scenario of the economy. The survey covers the factories registered under the Factories Act, 1948 and establishments under Bidi and Cigar Workers (Conditions of Employment) Act, 1966 and all electricity undertakings engaged in generation, transmission and distribution of electricity, not registered with the Central Electricity Authority (CEA)."
Top 10 States by Number of Factories,ASI,Industrial Statistics,Statewise,Annual,2010-11 to 2022-23,30 Sep 2024,ASIAFY23005ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASI/ASI_Top_10_States_by_Number_of_Factories.xlsx,"IS Wing, MoSPI","Annual Survey of Industries (ASI) is a major source of data of registered manufacturing sector of the Indian Economy. The survey results give valuable input to the planners and policy makers in objectively evaluating the industrial scenario of the economy. The survey covers the factories registered under the Factories Act, 1948 and establishments under Bidi and Cigar Workers (Conditions of Employment) Act, 1966 and all electricity undertakings engaged in generation, transmission and distribution of electricity, not registered with the Central Electricity Authority (CEA)."
Time series Trend of Important Principal Characteristics at all India level,ASI,Industrial Statistics,All India,Annual,1981-82 to 2022-23,30 Sep 2024,ASIAFY23006ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASI/ASI_Time_series_Trend_of_Important_Principal_Characteristics_at_all_India_level.xlsx,"IS Wing, MoSPI","Annual Survey of Industries (ASI) is a major source of data of registered manufacturing sector of the Indian Economy. The survey results give valuable input to the planners and policy makers in objectively evaluating the industrial scenario of the economy. The survey covers the factories registered under the Factories Act, 1948 and establishments under Bidi and Cigar Workers (Conditions of Employment) Act, 1966 and all electricity undertakings engaged in generation, transmission and distribution of electricity, not registered with the Central Electricity Authority (CEA)."
Time series trend of important Principal Characteristics at all India level by Major Industry Group (NIC Divisions),ASI,Industrial Statistics,All India,Annual,2010-11 to 2022-23,30 Sep 2024,ASIAFY23007ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASI/ASI%20_Time_series_trend_of_important_Principal_Characteristics_at_all_India_level_by_Major_Industry_Group_NIC_Divisions.xlsx,"IS Wing, MoSPI","Annual Survey of Industries (ASI) is a major source of data of registered manufacturing sector of the Indian Economy. The survey results give valuable input to the planners and policy makers in objectively evaluating the industrial scenario of the economy. The survey covers the factories registered under the Factories Act, 1948 and establishments under Bidi and Cigar Workers (Conditions of Employment) Act, 1966 and all electricity undertakings engaged in generation, transmission and distribution of electricity, not registered with the Central Electricity Authority (CEA)."
Time series trend of important Principal Characteristics by Rural/Urban Sector,ASI,Industrial Statistics,All India,Annual,2010-11 to 2022-23,30 Sep 2024,ASIAFY23008ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASI/ASI_Time_series_trend_of_important_Principal_Characteristics_by_Rural_Urban_Sector.xlsx,"IS Wing, MoSPI","Annual Survey of Industries (ASI) is a major source of data of registered manufacturing sector of the Indian Economy. The survey results give valuable input to the planners and policy makers in objectively evaluating the industrial scenario of the economy. The survey covers the factories registered under the Factories Act, 1948 and establishments under Bidi and Cigar Workers (Conditions of Employment) Act, 1966 and all electricity undertakings engaged in generation, transmission and distribution of electricity, not registered with the Central Electricity Authority (CEA)."
ASI - State Wise number of factories for 2022-23,ASI,Industrial Statistics,Statewise,Annual,2022-23,30 Sep 2024,ASIAFY230011ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASI/ASI_State_Wise_number_of_factories_for_2022_23.xlsx,"IS Wing, MoSPI","Annual Survey of Industries (ASI) is a major source of data of registered manufacturing sector of the Indian Economy. The survey results give valuable input to the planners and policy makers in objectively evaluating the industrial scenario of the economy. The survey covers the factories registered under the Factories Act, 1948 and establishments under Bidi and Cigar Workers (Conditions of Employment) Act, 1966 and all electricity undertakings engaged in generation, transmission and distribution of electricity, not registered with the Central Electricity Authority (CEA)."
Time series trend of Important Characteristics Structural Ratios,ASI,Industrial Statistics,All India,Annual,2010-11 to 2021-22,20 Feb 2024,ASIAFY22009ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASI/ASI_Time_series_trend_of_Important_Characteristics_Structural_Ratios.xlsx,"IS Wing, MoSPI","Annual Survey of Industries (ASI) is a major source of data of registered manufacturing sector of the Indian Economy. The survey results give valuable input to the planners and policy makers in objectively evaluating the industrial scenario of the economy. The survey covers the factories registered under the Factories Act, 1948 and establishments under Bidi and Cigar Workers (Conditions of Employment) Act, 1966 and all electricity undertakings engaged in generation, transmission and distribution of electricity, not registered with the Central Electricity Authority (CEA)."
Time series trend of Important Characteristics Technical Co-efficients,ASI,Industrial Statistics,All India,Annual,2010-11 to 2021-22,20 Feb 2024,ASIAFY220010ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASI/ASI_Time_series_trend_of_Important_Characteristics_Technical_Co_efficients.xlsx,"IS Wing, MoSPI","Annual Survey of Industries (ASI) is a major source of data of registered manufacturing sector of the Indian Economy. The survey results give valuable input to the planners and policy makers in objectively evaluating the industrial scenario of the economy. The survey covers the factories registered under the Factories Act, 1948 and establishments under Bidi and Cigar Workers (Conditions of Employment) Act, 1966 and all electricity undertakings engaged in generation, transmission and distribution of electricity, not registered with the Central Electricity Authority (CEA)."
