Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
Table 1: Key aggregate estimates of ASUSE 2022-23 and ASUSE 2023-24 (all-India),ASUSE,National Sample Survey,All India,Annual,2023-24,31 Dec 2024,ASUSEFY24001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASUSE/2023-24/Factsheet/Table_1.xlsx,National Sample Survey Office,"Annual Survey of Unincorporated Sector Enterprises (ASUSE) exclusively measures various economic and operational characteristics of unincorporated non-agricultural establishments in manufacturing, trade and other services sector (excluding construction)."
Table 2: Key aggregate estimates of ASUSE 2022-23 and ASUSE 2023-24 at BAC level (all-India),ASUSE,National Sample Survey,All India,Annual,2023-24,31 Dec 2024,ASUSEFY24002ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASUSE/2023-24/Factsheet/Table_2.xlsx,National Sample Survey Office,"Annual Survey of Unincorporated Sector Enterprises (ASUSE) exclusively measures various economic and operational characteristics of unincorporated non-agricultural establishments in manufacturing, trade and other services sector (excluding construction)."
Table 3: Key indicators of ASUSE 2022-23 and ASUSE 2023-24 (all-India),ASUSE,National Sample Survey,All India,Annual,2023-24,31 Dec 2024,ASUSEFY24003ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASUSE/2023-24/Factsheet/Table_3.xlsx,National Sample Survey Office,"Annual Survey of Unincorporated Sector Enterprises (ASUSE) exclusively measures various economic and operational characteristics of unincorporated non-agricultural establishments in manufacturing, trade and other services sector (excluding construction)."
Table 4: Key indicators of ASUSE 2022-23 and ASUSE 2023-24 (Manufacturing),ASUSE,National Sample Survey,All India,Annual,2023-24,31 Dec 2024,ASUSEFY24004ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASUSE/2023-24/Factsheet/Table_4.xlsx,National Sample Survey Office,"Annual Survey of Unincorporated Sector Enterprises (ASUSE) exclusively measures various economic and operational characteristics of unincorporated non-agricultural establishments in manufacturing, trade and other services sector (excluding construction)."
Table 5: Key indicators of ASUSE 2022-23 and ASUSE 2023-24 (Trade),ASUSE,National Sample Survey,All India,Annual,2023-24,31 Dec 2024,ASUSEFY24005ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASUSE/2023-24/Factsheet/Table_5.xlsx,National Sample Survey Office,"Annual Survey of Unincorporated Sector Enterprises (ASUSE) exclusively measures various economic and operational characteristics of unincorporated non-agricultural establishments in manufacturing, trade and other services sector (excluding construction)."
Table 6: Key indicators of ASUSE 2022-23 and ASUSE 2023-24 (Other Service),ASUSE,National Sample Survey,All India,Annual,2023-24,31 Dec 2024,ASUSEFY24006ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASUSE/2023-24/Factsheet/Table_6.xlsx,National Sample Survey Office,"Annual Survey of Unincorporated Sector Enterprises (ASUSE) exclusively measures various economic and operational characteristics of unincorporated non-agricultural establishments in manufacturing, trade and other services sector (excluding construction)."
"Statement 1:State/UT-wise count of FSUs allotted, surveyed and establishments surveyed",ASUSE,National Sample Survey,All India,Annual,2022-23,05 Jul 2024,ASUSEFY23001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASUSE/2022-23/Statement-1.xlsx,National Sample Survey Office,"ASUSE covers economic and operational characteristics of unincorporated nonagricultural establishments in manufacturing, trade and other services sectors to supplement the corporate sector data and provides a number of tabulations on their estimates. The estimates are generated using the survey-based multipliers for both ""aggregate"" and ""ratio"" estimates."
"Statement 2:Estimated number of establishments by broad activity category, sector and establishment type",ASUSE,National Sample Survey,All India,Annual,2022-23,05 Jul 2024,ASUSEFY23002ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASUSE/2022-23/Statement-2.xlsx,National Sample Survey Office,"ASUSE covers economic and operational characteristics of unincorporated nonagricultural establishments in manufacturing, trade and other services sectors to supplement the corporate sector data and provides a number of tabulations on their estimates. The estimates are generated using the survey-based multipliers for both ""aggregate"" and ""ratio"" estimates."
"Statement 3:Percentage Share of estimated number of Establishments by broad activity category, sector and establishment type",ASUSE,National Sample Survey,All India,Annual,2022-23,05 Jul 2024,ASUSEFY23003ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASUSE/2022-23/Statement-3.xlsx,National Sample Survey Office,"ASUSE covers economic and operational characteristics of unincorporated nonagricultural establishments in manufacturing, trade and other services sectors to supplement the corporate sector data and provides a number of tabulations on their estimates. The estimates are generated using the survey-based multipliers for both ""aggregate"" and ""ratio"" estimates."
Statement 4R:Percentage share of establishments of top 3 activity categories under each broad activity category by type of establishment,ASUSE,National Sample Survey,All India,Annual,2022-23,05 Jul 2024,ASUSEFY23004ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASUSE/2022-23/Statement-4R.xlsx,National Sample Survey Office,"ASUSE covers economic and operational characteristics of unincorporated nonagricultural establishments in manufacturing, trade and other services sectors to supplement the corporate sector data and provides a number of tabulations on their estimates. The estimates are generated using the survey-based multipliers for both ""aggregate"" and ""ratio"" estimates."
