Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
Table 1: Percentage of persons able to read and write short simple statements in their everyday life with understanding for each State/UT,CAMS,National Sample Survey,All India,Annual,2022-23,09 Oct 2024,CAMSFY23001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/CAMS/2022-23/Table%201.xlsx,National Sample Survey Office,"National Sample Survey Office (NSSO) conducted the ‘Comprehensive Annual Modular Survey’ (CAMS) in its 79th round (July, 2022 to June, 2023). The primary objective of CAMS was to collect data to generate indicators encompassing education, out-of-pocket medical expenditure, use of mobile and internet, financial inclusion, ICT skills, possession of assets, etc. In addition, information related to drinking water, sanitation, energy use, birth registration, access to transport facilities, etc., was also collected. The survey collected both household and person-level information."
Table 2:Percentage of persons able to read and write short simple statements in their everyday life with understanding and also able to perform simple arithmetic calculations for each State/UT,CAMS,National Sample Survey,All India,Annual,2022-23,09 Oct 2024,CAMSFY23002ANN,https://esankhyiki.mospi.gov.in/datacatalogue/CAMS/2022-23/Table%202.xlsx,National Sample Survey Office,"National Sample Survey Office (NSSO) conducted the ‘Comprehensive Annual Modular Survey’ (CAMS) in its 79th round (July, 2022 to June, 2023). The primary objective of CAMS was to collect data to generate indicators encompassing education, out-of-pocket medical expenditure, use of mobile and internet, financial inclusion, ICT skills, possession of assets, etc. In addition, information related to drinking water, sanitation, energy use, birth registration, access to transport facilities, etc., was also collected. The survey collected both household and person-level information."
Table 3: Mean years of schooling in formal education for each State/UT,CAMS,National Sample Survey,All India,Annual,2022-23,09 Oct 2024,CAMSFY23003ANN,https://esankhyiki.mospi.gov.in/datacatalogue/CAMS/2022-23/Table%203.xlsx,National Sample Survey Office,"National Sample Survey Office (NSSO) conducted the ‘Comprehensive Annual Modular Survey’ (CAMS) in its 79th round (July, 2022 to June, 2023). The primary objective of CAMS was to collect data to generate indicators encompassing education, out-of-pocket medical expenditure, use of mobile and internet, financial inclusion, ICT skills, possession of assets, etc. In addition, information related to drinking water, sanitation, energy use, birth registration, access to transport facilities, etc., was also collected. The survey collected both household and person-level information."
Table 4: Percentage of persons of age 6 to 10 years currently enrolled in primary education (Class I to Class V) for each State/UT,CAMS,National Sample Survey,All India,Annual,2022-23,09 Oct 2024,CAMSFY23004ANN,https://esankhyiki.mospi.gov.in/datacatalogue/CAMS/2022-23/Table%204.xlsx,National Sample Survey Office,"National Sample Survey Office (NSSO) conducted the ‘Comprehensive Annual Modular Survey’ (CAMS) in its 79th round (July, 2022 to June, 2023). The primary objective of CAMS was to collect data to generate indicators encompassing education, out-of-pocket medical expenditure, use of mobile and internet, financial inclusion, ICT skills, possession of assets, etc. In addition, information related to drinking water, sanitation, energy use, birth registration, access to transport facilities, etc., was also collected. The survey collected both household and person-level information."
Table 5: Percentage of persons with some secondary education for each State/UT,CAMS,National Sample Survey,All India,Annual,2022-23,09 Oct 2024,CAMSFY23005ANN,https://esankhyiki.mospi.gov.in/datacatalogue/CAMS/2022-23/Table%205.xlsx,National Sample Survey Office,"National Sample Survey Office (NSSO) conducted the ‘Comprehensive Annual Modular Survey’ (CAMS) in its 79th round (July, 2022 to June, 2023). The primary objective of CAMS was to collect data to generate indicators encompassing education, out-of-pocket medical expenditure, use of mobile and internet, financial inclusion, ICT skills, possession of assets, etc. In addition, information related to drinking water, sanitation, energy use, birth registration, access to transport facilities, etc., was also collected. The survey collected both household and person-level information."
Table 6: Percentage distribution of persons of age 6 to 18 years who never enrolled in formal education by major reasons at the time of survey for each State/UT,CAMS,National Sample Survey,All India,Annual,2022-23,09 Oct 2024,CAMSFY23006ANN,https://esankhyiki.mospi.gov.in/datacatalogue/CAMS/2022-23/Table%206.xlsx,National Sample Survey Office,"National Sample Survey Office (NSSO) conducted the ‘Comprehensive Annual Modular Survey’ (CAMS) in its 79th round (July, 2022 to June, 2023). The primary objective of CAMS was to collect data to generate indicators encompassing education, out-of-pocket medical expenditure, use of mobile and internet, financial inclusion, ICT skills, possession of assets, etc. In addition, information related to drinking water, sanitation, energy use, birth registration, access to transport facilities, etc., was also collected. The survey collected both household and person-level information."
Table 7: Percentage of persons graduated in science and technology among all graduates for each State/UT,CAMS,National Sample Survey,All India,Annual,2022-23,09 Oct 2024,CAMSFY23007ANN,https://esankhyiki.mospi.gov.in/datacatalogue/CAMS/2022-23/Table%207.xlsx,National Sample Survey Office,"National Sample Survey Office (NSSO) conducted the ‘Comprehensive Annual Modular Survey’ (CAMS) in its 79th round (July, 2022 to June, 2023). The primary objective of CAMS was to collect data to generate indicators encompassing education, out-of-pocket medical expenditure, use of mobile and internet, financial inclusion, ICT skills, possession of assets, etc. In addition, information related to drinking water, sanitation, energy use, birth registration, access to transport facilities, etc., was also collected. The survey collected both household and person-level information."
Table 8: Percentage of youth in formal and non-formal education and training in the previous 12 months for each State/UT,CAMS,National Sample Survey,All India,Annual,2022-23,09 Oct 2024,CAMSFY23008ANN,https://esankhyiki.mospi.gov.in/datacatalogue/CAMS/2022-23/Table%208.xlsx,National Sample Survey Office,"National Sample Survey Office (NSSO) conducted the ‘Comprehensive Annual Modular Survey’ (CAMS) in its 79th round (July, 2022 to June, 2023). The primary objective of CAMS was to collect data to generate indicators encompassing education, out-of-pocket medical expenditure, use of mobile and internet, financial inclusion, ICT skills, possession of assets, etc. In addition, information related to drinking water, sanitation, energy use, birth registration, access to transport facilities, etc., was also collected. The survey collected both household and person-level information."
"Table 9: Percentage of youth not in education, employment, or training for each State/UT",CAMS,National Sample Survey,All India,Annual,2022-23,09 Oct 2024,CAMSFY23009ANN,https://esankhyiki.mospi.gov.in/datacatalogue/CAMS/2022-23/Table%209.xlsx,National Sample Survey Office,"National Sample Survey Office (NSSO) conducted the ‘Comprehensive Annual Modular Survey’ (CAMS) in its 79th round (July, 2022 to June, 2023). The primary objective of CAMS was to collect data to generate indicators encompassing education, out-of-pocket medical expenditure, use of mobile and internet, financial inclusion, ICT skills, possession of assets, etc. In addition, information related to drinking water, sanitation, energy use, birth registration, access to transport facilities, etc., was also collected. The survey collected both household and person-level information."
Table 10: Average medical expenditure (Rs.) per household and per person on hospitalised treatment (including institutional delivery) during last 365 days and on non-hospitalised treatment during the last 30 days for each State/UT,CAMS,National Sample Survey,All India,Annual,2022-23,09 Oct 2024,CAMSFY23010ANN,https://esankhyiki.mospi.gov.in/datacatalogue/CAMS/2022-23/Table%2010.xlsx,National Sample Survey Office,"National Sample Survey Office (NSSO) conducted the ‘Comprehensive Annual Modular Survey’ (CAMS) in its 79th round (July, 2022 to June, 2023). The primary objective of CAMS was to collect data to generate indicators encompassing education, out-of-pocket medical expenditure, use of mobile and internet, financial inclusion, ICT skills, possession of assets, etc. In addition, information related to drinking water, sanitation, energy use, birth registration, access to transport facilities, etc., was also collected. The survey collected both household and person-level information."
