Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
"All-India General, Group and Sub-group level CPI and CFPI numbers for Rural, Urban and Combined (Base Year : 2012= 100)",CPI,Price Statistics,"All India, Rural, Urban",Monthly,Jan 2021,12 Feb 2021,CPIMCY21019JAN,https://esankhyiki.mospi.gov.in/datacatalogue/CPI/2021/Annexures_for_Press_Release_in_Excel_Jan_2021_Annex-I.xlsx,"Price Statistics Division, MoSPI","Consumer Price Index (CPI) measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption. Such changes affect the real purchasing power of consumers‘ income and their welfare. CPI numbers are widely used as macroeconomic indicator of inflation, and also as a tool by government and central banks for targeting inflation and monitoring price stability. All India Consumer price Indices are shown here for Food & Beverages, Clothing & Footwear, Housing, Fuel & Light and Misc for Rural and urban Areas in India."
"All-India year-on-year inflation rates (%) for General, Group and Sub-group level CPI and CFPI numbers for Rural, Urban and Combined (Base Year : 2012= 100)",CPI,Price Statistics,"All India, Rural, Urban",Monthly,Jan 2021,12 Feb 2021,CPIMCY21020JAN,https://esankhyiki.mospi.gov.in/datacatalogue/CPI/2021/Annexures_for_Press_Release_in_Excel_Jan_2021_Annex-II.xlsx,"Price Statistics Division, MoSPI","Consumer Price Index (CPI) measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption. Such changes affect the real purchasing power of consumers‘ income and their welfare. CPI numbers are widely used as macroeconomic indicator of inflation, and also as a tool by government and central banks for targeting inflation and monitoring price stability. All India Consumer price Indices are shown here for Food & Beverages, Clothing & Footwear, Housing, Fuel & Light and Misc for Rural and urban Areas in India."
"General CPI for States for Rural, Urban and Combined (Base Year : 2012= 100)",CPI,Price Statistics,"All India, Rural, Urban, States",Monthly,Jan 2021,12 Feb 2021,CPIMCY21021JAN,https://esankhyiki.mospi.gov.in/datacatalogue/CPI/2021/Annexures_for_Press_Release_in_Excel_Jan_2021_Annex-III.xlsx,"Price Statistics Division, MoSPI","Consumer Price Index (CPI) measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption. Such changes affect the real purchasing power of consumers‘ income and their welfare. CPI numbers are widely used as macroeconomic indicator of inflation, and also as a tool by government and central banks for targeting inflation and monitoring price stability. All India Consumer price Indices are shown here for Food & Beverages, Clothing & Footwear, Housing, Fuel & Light and Misc for Rural and urban Areas in India."
"Year-on-year inflation rates (%) of major@ States for Rural, Urban and Combined (Base Year : 2012= 100)",CPI,Price Statistics,"All India, Rural, Urban, States",Monthly,Jan 2021,12 Feb 2021,CPIMCY21022JAN,https://esankhyiki.mospi.gov.in/datacatalogue/CPI/2021/Annexures_for_Press_Release_in_Excel_Jan_2021_Annex-IV.xlsx,"Price Statistics Division, MoSPI","Consumer Price Index (CPI) measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption. Such changes affect the real purchasing power of consumers‘ income and their welfare. CPI numbers are widely used as macroeconomic indicator of inflation, and also as a tool by government and central banks for targeting inflation and monitoring price stability. All India Consumer price Indices are shown here for Food & Beverages, Clothing & Footwear, Housing, Fuel & Light and Misc for Rural and urban Areas in India."
"All-India General, Group and Sub-group level CPI and CFPI numbers for Rural, Urban and Combined (Base Year : 2012= 100)",CPI,Price Statistics,"All India, Rural, Urban",Monthly,Dec 2020,12 Jan 2021,CPIMCY20011DEC,https://esankhyiki.mospi.gov.in/datacatalogue/CPI/2020/Annexures_for_Press_Release_in_Excel_Dec2020_Annex-I.xlsx,"Price Statistics Division, MoSPI","Consumer Price Index (CPI) measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption. Such changes affect the real purchasing power of consumers‘ income and their welfare. CPI numbers are widely used as macroeconomic indicator of inflation, and also as a tool by government and central banks for targeting inflation and monitoring price stability. All India Consumer price Indices are shown here for Food & Beverages, Clothing & Footwear, Housing, Fuel & Light and Misc for Rural and urban Areas in India."
"All-India year-on-year inflation rates (%) for General, Group and Sub-group level CPI and CFPI numbers for Rural, Urban and Combined (Base Year : 2012= 100)",CPI,Price Statistics,"All India, Rural, Urban",Monthly,Dec 2020,12 Jan 2021,CPIMCY20012DEC,https://esankhyiki.mospi.gov.in/datacatalogue/CPI/2020/Annexures_for_Press_Release_in_Excel_Dec2020_Annex-II.xlsx,"Price Statistics Division, MoSPI","Consumer Price Index (CPI) measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption. Such changes affect the real purchasing power of consumers‘ income and their welfare. CPI numbers are widely used as macroeconomic indicator of inflation, and also as a tool by government and central banks for targeting inflation and monitoring price stability. All India Consumer price Indices are shown here for Food & Beverages, Clothing & Footwear, Housing, Fuel & Light and Misc for Rural and urban Areas in India."
"General CPI for States for Rural, Urban and Combined (Base Year : 2012= 100)",CPI,Price Statistics,"All India, Rural, Urban, States",Monthly,Dec 2020,12 Jan 2021,CPIMCY20013DEC,https://esankhyiki.mospi.gov.in/datacatalogue/CPI/2020/Annexures_for_Press_Release_in_Excel_Dec2020_Annex-III.xlsx,"Price Statistics Division, MoSPI","Consumer Price Index (CPI) measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption. Such changes affect the real purchasing power of consumers‘ income and their welfare. CPI numbers are widely used as macroeconomic indicator of inflation, and also as a tool by government and central banks for targeting inflation and monitoring price stability. All India Consumer price Indices are shown here for Food & Beverages, Clothing & Footwear, Housing, Fuel & Light and Misc for Rural and urban Areas in India."
"Year-on-year inflation rates (%) of major@ States for Rural, Urban and Combined (Base Year : 2012= 100)",CPI,Price Statistics,"All India, Rural, Urban, States",Monthly,Dec 2020,12 Jan 2021,CPIMCY20014DEC,https://esankhyiki.mospi.gov.in/datacatalogue/CPI/2020/Annexures_for_Press_Release_in_Excel_Dec2020_Annex-IV.xlsx,"Price Statistics Division, MoSPI","Consumer Price Index (CPI) measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption. Such changes affect the real purchasing power of consumers‘ income and their welfare. CPI numbers are widely used as macroeconomic indicator of inflation, and also as a tool by government and central banks for targeting inflation and monitoring price stability. All India Consumer price Indices are shown here for Food & Beverages, Clothing & Footwear, Housing, Fuel & Light and Misc for Rural and urban Areas in India."
"All-India General, Group and Sub-group level CPI and CFPI numbers for Rural, Urban and Combined (Base Year : 2012= 100)",CPI,Price Statistics,"All India, Rural, Urban",Monthly,Nov 2020,14 Dec 2020,CPIMCY20037NOV,https://esankhyiki.mospi.gov.in/datacatalogue/CPI/2020/Annexures_for_Press_Release_in_Excel_Nov2020_Annex-I.xlsx,"Price Statistics Division, MoSPI","Consumer Price Index (CPI) measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption. Such changes affect the real purchasing power of consumers‘ income and their welfare. CPI numbers are widely used as macroeconomic indicator of inflation, and also as a tool by government and central banks for targeting inflation and monitoring price stability. All India Consumer price Indices are shown here for Food & Beverages, Clothing & Footwear, Housing, Fuel & Light and Misc for Rural and urban Areas in India."
"All-India year-on-year inflation rates (%) for General, Group and Sub-group level CPI and CFPI numbers for Rural, Urban and Combined (Base Year : 2012= 100)",CPI,Price Statistics,"All India, Rural, Urban",Monthly,Nov 2020,14 Dec 2020,CPIMCY20038NOV,https://esankhyiki.mospi.gov.in/datacatalogue/CPI/2020/Annexures_for_Press_Release_in_Excel_Nov2020_Annex-II.xlsx,"Price Statistics Division, MoSPI","Consumer Price Index (CPI) measures the changes over time in general level of retail prices of selected goods and services that households purchase for the purpose of consumption. Such changes affect the real purchasing power of consumers‘ income and their welfare. CPI numbers are widely used as macroeconomic indicator of inflation, and also as a tool by government and central banks for targeting inflation and monitoring price stability. All India Consumer price Indices are shown here for Food & Beverages, Clothing & Footwear, Housing, Fuel & Light and Misc for Rural and urban Areas in India."
