Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto October 2018,IIP,Industrial Statistics,All India,Monthly,Oct 2018,12 Dec 2018,IIPMFY19219OCT,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_oct18_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto October 2018,IIP,Industrial Statistics,All India,Monthly,Oct 2018,12 Dec 2018,IIPMFY19217OCT,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_oct18_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto October 2018,IIP,Industrial Statistics,All India,Monthly,Oct 2018,12 Dec 2018,IIPMFY19220OCT,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_oct18_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto October 2018,IIP,Industrial Statistics,All India,Monthly,Oct 2018,12 Dec 2018,IIPMFY19218OCT,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_oct18_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto September 2018,IIP,Industrial Statistics,All India,Monthly,Sep 2018,12 Nov 2018,IIPMFY19223SEP,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_sep18_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto September 2018,IIP,Industrial Statistics,All India,Monthly,Sep 2018,12 Nov 2018,IIPMFY19221SEP,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_sep18_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto September 2018,IIP,Industrial Statistics,All India,Monthly,Sep 2018,12 Nov 2018,IIPMFY19224SEP,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_sep18_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto September 2018,IIP,Industrial Statistics,All India,Monthly,Sep 2018,12 Nov 2018,IIPMFY19222SEP,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_sep18_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto August 2018,IIP,Industrial Statistics,All India,Monthly,Aug 2018,12 Oct 2018,IIPMFY19227AUG,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_aug18_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto August 2018,IIP,Industrial Statistics,All India,Monthly,Aug 2018,12 Oct 2018,IIPMFY19225AUG,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_aug18_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto August 2018,IIP,Industrial Statistics,All India,Monthly,Aug 2018,12 Oct 2018,IIPMFY19228AUG,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_aug18_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto August 2018,IIP,Industrial Statistics,All India,Monthly,Aug 2018,12 Oct 2018,IIPMFY19226AUG,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_aug18_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto July 2018,IIP,Industrial Statistics,All India,Monthly,Jul 2018,12 Sep 2018,IIPMFY19231JUL,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_jul18_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto July 2018,IIP,Industrial Statistics,All India,Monthly,Jul 2018,12 Sep 2018,IIPMFY19229JUL,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_jul18_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto July 2018,IIP,Industrial Statistics,All India,Monthly,Jul 2018,12 Sep 2018,IIPMFY19232JUL,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_jul18_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto July 2018,IIP,Industrial Statistics,All India,Monthly,Jul 2018,12 Sep 2018,IIPMFY19230JUL,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_jul18_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto June 2018,IIP,Industrial Statistics,All India,Monthly,Jun 2018,10 Aug 2018,IIPMFY19235JUN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_jun18_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto June 2018,IIP,Industrial Statistics,All India,Monthly,Jun 2018,10 Aug 2018,IIPMFY19233JUN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_jun18_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto June 2018,IIP,Industrial Statistics,All India,Monthly,Jun 2018,10 Aug 2018,IIPMFY19236JUN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2018-19/IndicesIIP2011-12Monthly_annual_jun18_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
