Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
Statement 1.13-FISIM by uses - Intermediate Consumption and Expenditure at current prices,NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15014ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter1/S1.13.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
Statement 1.14-Institutional Sectoral Accounts-Key Economic Indicators at current prices,NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15015ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter1/S1.14.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
"Statement 2.1 - Output, Value Added, CE, OS/MI by industry",NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15016ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter2/S2.1.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
"Statement 2.1A - Output, Value Added, CE, OS/MI by industry for Public Sector",NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15017ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter2/S2.1A.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
"Statement 2.1B - Output, Value Added, CE, OS/MI by industry for Private Corporations",NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15018ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter2/S2.1B.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
"Statement 2.1C - Output, Value Added, CE, OS/MI by industry for Households",NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15019ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter2/S2.1C.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
"Statement 2.2 - GCF,GFCF,CIS,CFC by industry",NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15020ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter2/S2.2.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
"Statement 2.2A - GCF,GFCF,CIS,CFC by industry for Public Sector",NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15021ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter2/S2.2A.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
"Statement 2.2B - GCF,GFCF,CIS,CFC by industry for Private Corporations",NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15022ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter2/S2.2B.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
"Statement 2.2C - GCF,GFCF,CIS,CFC by industry for Households",NAS,National Accounts Statistics,All India,Annual,2013-14,31 Jan 2015,NASAFY15023ANN,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/NAS/NAS2015/Chapter2/S2.2C.xlsx,"National Accounts Division, MoSPI","National Accounts Statistics (NAS) publication of Ministry of Statistics and Programme Implementation contains time series information on various macro-economic aggregates including GDP, GVA, PFCE, GFCE, GCF etc. Besides, Sequence of Accounts for Institutional Sectors are also published in NAS publication."
