Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
Dependency ratio of persons for each State / UT,PLFS,Labour Statistics,"All India, States, UT",Annual,July 2017- June 2018,01 Jul 2018,PLFAAY18053ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2017-18/Table_6.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017."
Literacy rate (in per cent) of persons of different age groups for each State / UT,PLFS,Labour Statistics,"All India, States, UT",Annual,July 2017- June 2018,01 Jul 2018,PLFAAY18054ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2017-18/Table_7.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017."
Percentage distribution of persons by general educational level for each State / UT,PLFS,Labour Statistics,"All India, States, UT",Annual,July 2017- June 2018,01 Jul 2018,PLFAAY18055ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2017-18/Table_8.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017."
Percentage distribution of persons of age 15 years & above by technical educational level,PLFS,Labour Statistics,All India,Annual,July 2017- June 2018,01 Jul 2018,PLFAAY18056ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2017-18/Table_9.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017."
Percentage distribution of persons of age 15 years and above who are literate through formal schooling by usual status (ps+ss) for different number of years spent in formal education,PLFS,Labour Statistics,All India,Annual,July 2017- June 2018,01 Jul 2018,PLFAAY18002ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2017-18/Table_10.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017. ps(Principal activity status) of a person refers to the activity status on which a person spent relatively long time (major time criterion) during 365 days preceding the date of survey. ss (Subsidiary economic activity status) of a person refers to the the activity status in which a person in addition to his/her usual principal status, performs some economic activity for 30 days or more for the reference period of 365 days preceding the date of survey."
Average number of years spent in formal education by workers in usual status (ps+ss) of different age groups through formal schooling by industry of work (age: 15-29 years / 15-59 years / 15 years and above) who are literate through formal schooling by industry of work,PLFS,Labour Statistics,All India,Annual,July 2017- June 2018,01 Jul 2018,PLFAAY18004ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2017-18/Table_11.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017. ps(Principal activity status) of a person refers to the activity status on which a person spent relatively long time (major time criterion) during 365 days preceding the date of survey. ss (Subsidiary economic activity status) of a person refers to the the activity status in which a person in addition to his/her usual principal status, performs some economic activity for 30 days or more for the reference period of 365 days preceding the date of survey."
Percentage distribution of persons of different age groups (age: 15-29 years/ 15-59 years) by vocational / technical training received,PLFS,Labour Statistics,All India,Annual,July 2017- June 2018,01 Jul 2018,PLFAAY18006ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2017-18/Table_12.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017."
Percentage distribution of persons in the age group 15-59 years who received formal vocational / technical training by field of training for each broad usual status (ps+ss),PLFS,Labour Statistics,All India,Annual,July 2017- June 2018,01 Jul 2018,PLFAAY18008ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2017-18/Table_13.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017. ps(Principal activity status) of a person refers to the activity status on which a person spent relatively long time (major time criterion) during 365 days preceding the date of survey. ss (Subsidiary economic activity status) of a person refers to the the activity status in which a person in addition to his/her usual principal status, performs some economic activity for 30 days or more for the reference period of 365 days preceding the date of survey."
Percentage distribution of persons in the age group 15-59 years who received formal vocational / technical training by broad usual activity status (ps+ss),PLFS,Labour Statistics,All India,Annual,July 2017- June 2018,01 Jul 2018,PLFAAY18010ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2017-18/Table_14.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017. ps(Principal activity status) of a person refers to the activity status on which a person spent relatively long time (major time criterion) during 365 days preceding the date of survey. ss (Subsidiary economic activity status) of a person refers to the the activity status in which a person in addition to his/her usual principal status, performs some economic activity for 30 days or more for the reference period of 365 days preceding the date of survey."
Percentage distribution of persons by usual status (ps+ss) for each age-group,PLFS,Labour Statistics,All India,Annual,July 2017- June 2018,01 Jul 2018,PLFAAY18012ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/2017-18/Table_15.xlsx,"Survey Design and Research Division, NSSO, MoSPI","The Periodic Labour Force Surveys have been conducted by the National Sample Survey Office (NSSO), Ministry of Statistics and Programme Implementation, since 2017. ps(Principal activity status) of a person refers to the activity status on which a person spent relatively long time (major time criterion) during 365 days preceding the date of survey. ss (Subsidiary economic activity status) of a person refers to the the activity status in which a person in addition to his/her usual principal status, performs some economic activity for 30 days or more for the reference period of 365 days preceding the date of survey."
